key;context;value;
Ciamis;query;place|GLOB2_1524|Ciamis;
Tjiamis;query;place|GLOB2_1524|Ciamis;
Tsjamies;query;place|GLOB2_1524|Ciamis;
Soulang;query;place|GLOB2_1526|Soulang;
Soulangh;query;place|GLOB2_1526|Soulang;
Sulang;query;place|GLOB2_1526|Soulang;
Camarien;query;place|GLOB2_1527|Kamarian;
Kamarian;query;place|GLOB2_1527|Kamarian;
Kamarin;query;place|GLOB2_1527|Kamarian;
Mangalor;query;place|GLOB2_1528|Mangaluru;
Mangalore;query;place|GLOB2_1528|Mangaluru;
Mangalur;query;place|GLOB2_1528|Mangaluru;
Mangaluru;query;place|GLOB2_1528|Mangaluru;
Taseho;query;place|GLOB2_1531|Taseho;
Thoccho;query;place|GLOB2_1531|Taseho;
Thoucheneo;query;place|GLOB2_1531|Taseho;
Tocheho;query;place|GLOB2_1531|Taseho;
Toheso;query;place|GLOB2_1531|Taseho;
Toseho;query;place|GLOB2_1531|Taseho;
Toseku;query;place|GLOB2_1531|Taseho;
Tosjeo;query;place|GLOB2_1531|Taseho;
Tosscho;query;place|GLOB2_1531|Taseho;
Tosseho;query;place|GLOB2_1531|Taseho;
Tossehoe;query;place|GLOB2_1531|Taseho;
Toutcheo;query;place|GLOB2_1531|Taseho;
Tomacallangh;query;place|GLOB2_1534|Tomokalang;
Tomocalang;query;place|GLOB2_1534|Tomokalang;
Tomokalang;query;place|GLOB2_1534|Tomokalang;
Terboyo;query;place|GLOB2_1536|Terboyo;
Torbaya;query;place|GLOB2_1536|Terboyo;
Tabalola;query;place|GLOB2_1537|Tabalola;
Tabelola;query;place|GLOB2_1537|Tabalola;
Tabelolo;query;place|GLOB2_1537|Tabalola;
fort Tabilolo;query;place|GLOB2_1537|Tabalola;
fort Wailoa;query;place|GLOB2_1537|Tabalola;
America;query;place|GLOB2_1538|America;
America (unspecified port);query;place|GLOB2_1538|America;
Americas;query;place|GLOB2_1538|America;
Amerika;query;place|GLOB2_1538|America;
Dordrecht;query;place|GLOB2_1539|Dordrecht;
Tafasoho;query;place|GLOB2_1540|Tafasoho;
Taffasoha;query;place|GLOB2_1540|Tafasoho;
fort Tafaco;query;place|GLOB2_1540|Tafasoho;
fort Tafasoho;query;place|GLOB2_1540|Tafasoho;
fort Tofasoha;query;place|GLOB2_1540|Tafasoho;
fort Zeven Provincieën;query;place|GLOB2_1540|Tafasoho;
Côn Sơn;query;place|GLOB2_1542|Côn Sơn;
Kondor, Pulau;query;place|GLOB2_1542|Côn Sơn;
Poulo Condoor;query;place|GLOB2_1542|Côn Sơn;
Pulo Condor;query;place|GLOB2_1542|Côn Sơn;
Tacome;query;place|GLOB2_1544|Takome;
Takome;query;place|GLOB2_1544|Takome;
Tacome;query;place|GLOB2_1544_HUM_1|Takome;
Takome;query;place|GLOB2_1544_HUM_1|Takome;
Fort Takome;query;place|GLOB2_1544_HUM_2|Fort Takome;
fort Tacomi;query;place|GLOB2_1544_HUM_2|Fort Takome;
fort Willemstad;query;place|GLOB2_1544_HUM_2|Fort Takome;
Eastern Salient;query;place|GLOB2_1546|Oosthoek;
Java's Oosthoek;query;place|GLOB2_1546|Oosthoek;
Oosthoek;query;place|GLOB2_1546|Oosthoek;
de Oosthoek;query;place|GLOB2_1546|Oosthoek;
Arandara;query;place|GLOB2_1548|Arandara;
Arandore;query;place|GLOB2_1548|Arandara;
Pulau Tidore;query;place|GLOB2_1549|Pulau Tidore;
Tidoor;query;place|GLOB2_1549|Pulau Tidore;
Tidoore;query;place|GLOB2_1549|Pulau Tidore;
Tidor;query;place|GLOB2_1549|Pulau Tidore;
Tidore;query;place|GLOB2_1549|Pulau Tidore;
Tydor;query;place|GLOB2_1549|Pulau Tidore;
Panarockan;query;place|GLOB2_1550|Panarukan;
Panaroekan;query;place|GLOB2_1550|Panarukan;
Panarukan;query;place|GLOB2_1550|Panarukan;
Pannaroekan;query;place|GLOB2_1550|Panarukan;
Panneroekan;query;place|GLOB2_1550|Panarukan;
Pannoerakan;query;place|GLOB2_1550|Panarukan;
Ontong Java;query;place|GLOB2_1553|Tanjung Burung;
Tanjung Burung;query;place|GLOB2_1553|Tanjung Burung;
Untung Djawa;query;place|GLOB2_1553|Tanjung Burung;
Parankali;query;place|GLOB2_1555|Perunkali;
Peringaly;query;place|GLOB2_1555|Perunkali;
Peroengalli;query;place|GLOB2_1555|Perunkali;
Perunkali;query;place|GLOB2_1555|Perunkali;
Pringali;query;place|GLOB2_1555|Perunkali;
Pringalij;query;place|GLOB2_1555|Perunkali;
Binongko;query;place|GLOB2_1557|Pulau Binongko;
Pinonco;query;place|GLOB2_1557|Pulau Binongko;
Pulau Binongko;query;place|GLOB2_1557|Pulau Binongko;
Papenberg;query;place|GLOB2_1559|Takaboko-shima;
Papeneiland;query;place|GLOB2_1559|Takaboko-shima;
Tackabaka;query;place|GLOB2_1559|Takaboko-shima;
Tackaboca;query;place|GLOB2_1559|Takaboko-shima;
Takabee;query;place|GLOB2_1559|Takaboko-shima;
Takaboko-shima;query;place|GLOB2_1559|Takaboko-shima;
Takabokojima;query;place|GLOB2_1559|Takaboko-shima;
高鉾島;query;place|GLOB2_1559|Takaboko-shima;
Bastion Robijn (Batavia);query;place|GLOB2_1564|Bastion Robijn (Batavia);
Robijn, Punt;query;place|GLOB2_1564|Bastion Robijn (Batavia);
Syria;query;place|GLOB2_1566|Syria;
Syrië;query;place|GLOB2_1566|Syria;
Coddachery;query;place|GLOB2_1568|Kozhancheri;
Kodachery;query;place|GLOB2_1568|Kozhancheri;
Kozhancheri;query;place|GLOB2_1568|Kozhancheri;
Drie Korala;query;place|GLOB2_1571|Three Korales;
Three Korales;query;place|GLOB2_1571|Three Korales;
Gilan;query;place|GLOB2_1574|Gīlān;
Gīlān;query;place|GLOB2_1574|Gīlān;
Annam;query;place|GLOB2_1576|Dai Viet;
Dai Viet;query;place|GLOB2_1576|Dai Viet;
安南;query;place|GLOB2_1576|Dai Viet;
Buton, Straat;query;place|GLOB2_1577|Selat Buton;
Selat Buton;query;place|GLOB2_1577|Selat Buton;
Kilmuri;query;place|GLOB2_1580|Kilmuri;
Quellimoury;query;place|GLOB2_1580|Kilmuri;
Hato Patola;query;place|GLOB2_1587|Lisabata;
Hatu Patola;query;place|GLOB2_1587|Lisabata;
Lisabata;query;place|GLOB2_1587|Lisabata;
Lisabatta;query;place|GLOB2_1587|Lisabata;
Lisbatte;query;place|GLOB2_1587|Lisabata;
Lissabatha;query;place|GLOB2_1587|Lisabata;
Lissabatte;query;place|GLOB2_1587|Lisabata;
Munster;query;place|GLOB2_1588|Münster;
Münster;query;place|GLOB2_1588|Münster;
Junnan;query;place|GLOB2_1590|Yunnan;
Yunnan;query;place|GLOB2_1590|Yunnan;
Lole;query;place|GLOB2_1594|Lole;
Loleh;query;place|GLOB2_1594|Lole;
Loleij;query;place|GLOB2_1594|Lole;
Lolij;query;place|GLOB2_1594|Lole;
Loly;query;place|GLOB2_1594|Lole;
Indian Ocean;query;place|GLOB2_1595|Indian Ocean;
Indische Oceaan;query;place|GLOB2_1595|Indian Ocean;
Api, Gunung;query;place|GLOB2_1596|Mount Api;
Mount Api;query;place|GLOB2_1596|Mount Api;
Comber;query;place|GLOB2_1597|Combir;
Combir;query;place|GLOB2_1597|Combir;
Commer;query;place|GLOB2_1597|Combir;
Komber;query;place|GLOB2_1597|Combir;
Comber;query;place|GLOB2_1597_GEO_1|Combir;
Combir;query;place|GLOB2_1597_GEO_1|Combir;
Commer;query;place|GLOB2_1597_GEO_1|Combir;
Komber;query;place|GLOB2_1597_GEO_1|Combir;
Comber;query;place|GLOB2_1597_HUM_1|Combir;
Combir;query;place|GLOB2_1597_HUM_1|Combir;
Commer;query;place|GLOB2_1597_HUM_1|Combir;
Komber;query;place|GLOB2_1597_HUM_1|Combir;
Comber;query;place|GLOB2_1597_HUM_2|Combir;
Combir;query;place|GLOB2_1597_HUM_2|Combir;
Commer;query;place|GLOB2_1597_HUM_2|Combir;
Komber;query;place|GLOB2_1597_HUM_2|Combir;
Saba;query;place|GLOB2_1598|Sawang;
Saban;query;place|GLOB2_1598|Sawang;
Sawang;query;place|GLOB2_1598|Sawang;
Saint Helena Bay;query;place|GLOB2_1599|Saint Helena Bay;
St Helenabhay;query;place|GLOB2_1599|Saint Helena Bay;
St. Helenabaai;query;place|GLOB2_1599|Saint Helena Bay;
Godavari;query;place|GLOB2_1600|Godāvari River;
Godāvari River;query;place|GLOB2_1600|Godāvari River;
Ciasem;query;place|GLOB2_1603|Ciasem;
Siassam;query;place|GLOB2_1603|Ciasem;
Tjiasem;query;place|GLOB2_1603|Ciasem;
Benteng Saboega;query;place|GLOB2_1604|Benteng Saboega;
Sabougo;query;place|GLOB2_1604|Benteng Saboega;
Sabugo;query;place|GLOB2_1604|Benteng Saboega;
Sabugou;query;place|GLOB2_1604|Benteng Saboega;
fort Saboga;query;place|GLOB2_1604|Benteng Saboega;
fort Sabugo;query;place|GLOB2_1604|Benteng Saboega;
Arima;query;place|GLOB2_1605|Arima;
有馬;query;place|GLOB2_1605|Arima;
Arimagon;query;place|GLOB2_1606|Armagon;
Armagon;query;place|GLOB2_1606|Armagon;
Armigon;query;place|GLOB2_1606|Armagon;
Tackilis;query;place|GLOB2_1608|Taraboan;
Taraboan;query;place|GLOB2_1608|Taraboan;
Taroboan;query;place|GLOB2_1608|Taraboan;
Tarraboan;query;place|GLOB2_1608|Taraboan;
Terraboan;query;place|GLOB2_1608|Taraboan;
Terroboangh;query;place|GLOB2_1608|Taraboan;
Ierland;query;place|GLOB2_1610|Ireland;
Ireland;query;place|GLOB2_1610|Ireland;
Balangnipa;query;place|GLOB2_1611|Balanipa;
Balanipa;query;place|GLOB2_1611|Balanipa;
Lamongan;query;place|GLOB2_1612|Lamongan;
Pulau Bidadari;query;place|GLOB2_1613|Pulau Bidadari;
Purmenend;query;place|GLOB2_1613|Pulau Bidadari;
Purmenent;query;place|GLOB2_1613|Pulau Bidadari;
Purmerend;query;place|GLOB2_1613|Pulau Bidadari;
Purmerendt;query;place|GLOB2_1613|Pulau Bidadari;
Purmerent;query;place|GLOB2_1613|Pulau Bidadari;
Modderbaai;query;place|GLOB2_1615|Mud Bay;
Modderbhay;query;place|GLOB2_1615|Mud Bay;
Mud Bay;query;place|GLOB2_1615|Mud Bay;
Fort Rijswijk (1656-1720);query;place|GLOB2_1616_1|Fort Rijswijk (1656-1720);
Rijswijk;query;place|GLOB2_1616_1|Fort Rijswijk (1656-1720);
fort Reijswijk;query;place|GLOB2_1616_1|Fort Rijswijk (1656-1720);
fort Rijswijck;query;place|GLOB2_1616_1|Fort Rijswijk (1656-1720);
Fort Rijswijk (1668-1811);query;place|GLOB2_1616_2|Fort Rijswijk (1668-1811);
Rijswijk;query;place|GLOB2_1616_2|Fort Rijswijk (1668-1811);
fort Reijswijk;query;place|GLOB2_1616_2|Fort Rijswijk (1668-1811);
fort Rijswijck;query;place|GLOB2_1616_2|Fort Rijswijk (1668-1811);
Boutuan;query;place|GLOB2_1622|Butuan;
Butuan;query;place|GLOB2_1622|Butuan;
Jemen;query;place|GLOB2_1623|Yemen;
Yemen;query;place|GLOB2_1623|Yemen;
Hamburg;query;place|GLOB2_1624|Hamburg;
Noorderkwartier, Kamers van het;query;place|GLOB2_1626|Noorderkwartier, Kamers van het;
South India;query;place|GLOB2_1627|South India;
Zuid-India;query;place|GLOB2_1627|South India;
Tanniyurnagaram;query;place|GLOB2_1628|Tanniyurnagaram;
Tannoor;query;place|GLOB2_1628|Tanniyurnagaram;
Tanoer;query;place|GLOB2_1628|Tanniyurnagaram;
Tanur;query;place|GLOB2_1628|Tanniyurnagaram;
Tanniyurnagaram (city);query;place|GLOB2_1628_HUM_1|Tanniyurnagaram (city);
Tannoor;query;place|GLOB2_1628_HUM_1|Tanniyurnagaram (city);
Tanoer;query;place|GLOB2_1628_HUM_1|Tanniyurnagaram (city);
Tanur;query;place|GLOB2_1628_HUM_1|Tanniyurnagaram (city);
Tanniyurnagaram (kingdom);query;place|GLOB2_1628_HUM_2|Tanniyurnagaram (kingdom);
Tannoor;query;place|GLOB2_1628_HUM_2|Tanniyurnagaram (kingdom);
Tanoer;query;place|GLOB2_1628_HUM_2|Tanniyurnagaram (kingdom);
Tanur;query;place|GLOB2_1628_HUM_2|Tanniyurnagaram (kingdom);
Mombasa;query;place|GLOB2_1629|Mombasa;
Mombase;query;place|GLOB2_1629|Mombasa;
Mombassa;query;place|GLOB2_1629|Mombasa;
Monbasse;query;place|GLOB2_1629|Mombasa;
Noorderdistricten;query;place|GLOB2_1630|Northern Districts;
Noorderprovincies (Celebes);query;place|GLOB2_1630|Northern Districts;
Northern Districts;query;place|GLOB2_1630|Northern Districts;
Bastion Gelderland (Batavia);query;place|GLOB2_1631|Bastion Gelderland (Batavia);
Gelderland, Punt;query;place|GLOB2_1631|Bastion Gelderland (Batavia);
Copenhagen;query;place|GLOB2_1633|Copenhagen;
Coppenhaven;query;place|GLOB2_1633|Copenhagen;
Kopenhagen;query;place|GLOB2_1633|Copenhagen;
København;query;place|GLOB2_1633|Copenhagen;
Cabon;query;place|GLOB2_1637|Kabun;
Kabun;query;place|GLOB2_1637|Kabun;
Bongus;query;place|GLOB2_1638|Bungus;
Bungus;query;place|GLOB2_1638|Bungus;
Diest Gate;query;place|GLOB2_1643|Diestpoort (Batavia);
Diestpoort;query;place|GLOB2_1643|Diestpoort (Batavia);
Diestpoort (Batavia);query;place|GLOB2_1643|Diestpoort (Batavia);
Handiael;query;place|GLOB2_1644|Hāndiāl;
Hendiaal;query;place|GLOB2_1644|Hāndiāl;
Hāndiāl;query;place|GLOB2_1644|Hāndiāl;
Benteng Lohayong;query;place|GLOB2_1645|Benteng Lohayong;
Henricus, Kasteel;query;place|GLOB2_1645|Benteng Lohayong;
fort Fredrik Hendrik;query;place|GLOB2_1645|Benteng Lohayong;
fort Henricus;query;place|GLOB2_1645|Benteng Lohayong;
fort Lohayong;query;place|GLOB2_1645|Benteng Lohayong;
Bega;query;place|GLOB2_1647|Bega;
Coromandel, Zuid;query;place|GLOB2_1649|South Coromandel;
South Coromandel;query;place|GLOB2_1649|South Coromandel;
Bangka Strait;query;place|GLOB2_1652|Selat Bangka;
Selat Bangka;query;place|GLOB2_1652|Selat Bangka;
Straat Banca;query;place|GLOB2_1652|Selat Bangka;
Straat Bangka;query;place|GLOB2_1652|Selat Bangka;
Straet Banca;query;place|GLOB2_1652|Selat Bangka;
Sangar;query;place|GLOB2_1653|Sanggar;
Sangara;query;place|GLOB2_1653|Sanggar;
Sanggar;query;place|GLOB2_1653|Sanggar;
Toratte;query;place|GLOB2_1655|Turatea;
Turatea;query;place|GLOB2_1655|Turatea;
Turatte;query;place|GLOB2_1655|Turatea;
Bato Poety;query;place|GLOB2_1656|Pulau Batuputih;
Batu Putih;query;place|GLOB2_1656|Pulau Batuputih;
Pulau Batuputih;query;place|GLOB2_1656|Pulau Batuputih;
Caeymelse revier;query;place|GLOB2_1659|Maha Oya;
Caymelle;query;place|GLOB2_1659|Maha Oya;
Kaymelle;query;place|GLOB2_1659|Maha Oya;
Maha Oya;query;place|GLOB2_1659|Maha Oya;
Mamala;query;place|GLOB2_1661|Mamala;
Mamalo;query;place|GLOB2_1661|Mamala;
Mamalou;query;place|GLOB2_1661|Mamala;
Mokervaart;query;place|GLOB2_1662|Mookervaart;
Mookervaart;query;place|GLOB2_1662|Mookervaart;
Kadinding;query;place|GLOB2_1663|Kadinding;
Kadingding;query;place|GLOB2_1663|Kadinding;
Kadingdingh;query;place|GLOB2_1663|Kadinding;
Dinding;query;place|GLOB2_1664|Pulau Pangkor;
Dindings;query;place|GLOB2_1664|Pulau Pangkor;
Dinghdingh;query;place|GLOB2_1664|Pulau Pangkor;
Pangkor;query;place|GLOB2_1664|Pulau Pangkor;
Pangkor eiland;query;place|GLOB2_1664|Pulau Pangkor;
Poulo Gom;query;place|GLOB2_1664|Pulau Pangkor;
Pulau Giam;query;place|GLOB2_1664|Pulau Pangkor;
Pulau Pangkor;query;place|GLOB2_1664|Pulau Pangkor;
Pulo Gom;query;place|GLOB2_1664|Pulau Pangkor;
Hasanabadur;query;place|GLOB2_1666|Hassenabadoer;
Hassenabadoer;query;place|GLOB2_1666|Hassenabadoer;
Tirumullaivasal;query;place|GLOB2_1667|Tirumullaivasal;
Trimelevaas;query;place|GLOB2_1667|Tirumullaivasal;
Trimilevaes;query;place|GLOB2_1667|Tirumullaivasal;
Trimilivas;query;place|GLOB2_1667|Tirumullaivasal;
Auwt;query;place|GLOB2_1668|Awadh;
Awadh;query;place|GLOB2_1668|Awadh;
Oudh;query;place|GLOB2_1668|Awadh;
Woena;query;place|GLOB2_1669|Wuna;
Wuna;query;place|GLOB2_1669|Wuna;
Gandikota;query;place|GLOB2_1670|Gandikota;
Gendecata;query;place|GLOB2_1670|Gandikota;
Gendicotta;query;place|GLOB2_1670|Gandikota;
Gendikota;query;place|GLOB2_1670|Gandikota;
Andaman Islands;query;place|GLOB2_1671|Andaman Islands;
Andamanen;query;place|GLOB2_1671|Andaman Islands;
Tosora;query;place|GLOB2_1672|Tosora;
Tossora;query;place|GLOB2_1672|Tosora;
Kadjang;query;place|GLOB2_1673|Kajang;
Kadziang;query;place|GLOB2_1673|Kajang;
Kajang;query;place|GLOB2_1673|Kajang;
Cabo de Spiritu Santo;query;place|GLOB2_1676|Cape Espiritu Santo;
Cape Espiritu Santo;query;place|GLOB2_1676|Cape Espiritu Santo;
Spiritu Santo, Kaap;query;place|GLOB2_1676|Cape Espiritu Santo;
Pasemah;query;place|GLOB2_1677|Pasemah;
Passaman;query;place|GLOB2_1677|Pasemah;
Pescena;query;place|GLOB2_1677|Pasemah;
Wolvendaal;query;place|GLOB2_1678|Wolvendaal Church;
Wolvendaal Church;query;place|GLOB2_1678|Wolvendaal Church;
Amsterdam, Pakhuis;query;place|GLOB2_1679|Pakhuis Amsterdam;
Pakhuis Amsterdam;query;place|GLOB2_1679|Pakhuis Amsterdam;
Lamadjang;query;place|GLOB2_1682|Lumajang;
Lumadjang;query;place|GLOB2_1682|Lumajang;
Lumajang;query;place|GLOB2_1682|Lumajang;
Capo Rachado;query;place|GLOB2_1683|Tanjung Tuan;
Rachado, Kaap;query;place|GLOB2_1683|Tanjung Tuan;
Tanjung Tuan;query;place|GLOB2_1683|Tanjung Tuan;
Duizend eilanden;query;place|GLOB2_1684|Kepulauan Seribu;
Duysent Eylanden;query;place|GLOB2_1684|Kepulauan Seribu;
Kepulauan Seribu;query;place|GLOB2_1684|Kepulauan Seribu;
Landack;query;place|GLOB2_1688|Landak;
Landak;query;place|GLOB2_1688|Landak;
Brabant;query;place|GLOB2_1689|Brabant;
Fort Revenge;query;place|GLOB2_1690|Fort Revenge;
Revengie, Kasteel;query;place|GLOB2_1690|Fort Revenge;
fort Ay;query;place|GLOB2_1690|Fort Revenge;
fort Revengie;query;place|GLOB2_1690|Fort Revenge;
Zeeborg;query;place|GLOB2_1692|Zeeburgh (Ngofakiaha);
Zeeburg;query;place|GLOB2_1692|Zeeburgh (Ngofakiaha);
Zeeburg, Kasteel;query;place|GLOB2_1692|Zeeburgh (Ngofakiaha);
Zeeburgh;query;place|GLOB2_1692|Zeeburgh (Ngofakiaha);
Zeeburgh (Ngofakiaha);query;place|GLOB2_1692|Zeeburgh (Ngofakiaha);
Caloncon;query;place|GLOB2_1695|Kalongkong;
Kalonco;query;place|GLOB2_1695|Kalongkong;
Kalongkong;query;place|GLOB2_1695|Kalongkong;
Kalungkung;query;place|GLOB2_1695|Kalongkong;
Madou;query;place|GLOB2_1700|Madou;
Mattau;query;place|GLOB2_1700|Madou;
Mattauw;query;place|GLOB2_1700|Madou;
Pulau Wamar;query;place|GLOB2_1702|Pulau Wamar;
Wamar;query;place|GLOB2_1702|Pulau Wamar;
Wammer;query;place|GLOB2_1702|Pulau Wamar;
Keema;query;place|GLOB2_1704|Kema;
Kema;query;place|GLOB2_1704|Kema;
Bintan;query;place|GLOB2_1705|Pulau Bintan;
Bintang;query;place|GLOB2_1705|Pulau Bintan;
Pulau Bintan;query;place|GLOB2_1705|Pulau Bintan;
Bednur;query;place|GLOB2_1706|Bednur;
Bedroer;query;place|GLOB2_1706|Bednur;
Bidnoer;query;place|GLOB2_1706|Bednur;
Bidroer;query;place|GLOB2_1706|Bednur;
Utrecht Gate;query;place|GLOB2_1707|Utrecht Gate;
Utrechtse poort (te Batavia);query;place|GLOB2_1707|Utrecht Gate;
Liwas;query;place|GLOB2_1709|Liwas;
Serra Liona;query;place|GLOB2_1710|Sierra Leone;
Sierra Leone;query;place|GLOB2_1710|Sierra Leone;
New Gate;query;place|GLOB2_1711|Nieuwpoort (Batavia);
Nieuwpoort;query;place|GLOB2_1711|Nieuwpoort (Batavia);
Nieuwpoort (Batavia);query;place|GLOB2_1711|Nieuwpoort (Batavia);
Bandar Kong;query;place|GLOB2_1712|Bandar-e Kong;
Bandar-e Kong;query;place|GLOB2_1712|Bandar-e Kong;
Bande Kong;query;place|GLOB2_1712|Bandar-e Kong;
Bender-Kong;query;place|GLOB2_1712|Bandar-e Kong;
Conge;query;place|GLOB2_1712|Bandar-e Kong;
Congo;query;place|GLOB2_1712|Bandar-e Kong;
Kong, Bandar;query;place|GLOB2_1712|Bandar-e Kong;
Kung;query;place|GLOB2_1712|Bandar-e Kong;
Bay of Bengal;query;place|GLOB2_1715|Bay of Bengal;
Bengalen, Golf van;query;place|GLOB2_1715|Bay of Bengal;
Tamilau;query;place|GLOB2_1716|Tamilau;
Tamillaauw;query;place|GLOB2_1716|Tamilau;
Tamlouw;query;place|GLOB2_1716|Tamilau;
Tammelau;query;place|GLOB2_1716|Tamilau;
Gouli Gouli;query;place|GLOB2_1721|Pulau Panjang (East Seram);
Guli-Guli;query;place|GLOB2_1721|Pulau Panjang (East Seram);
Pulau Panjang (East Seram);query;place|GLOB2_1721|Pulau Panjang (East Seram);
Balanta;query;place|GLOB2_1722|Balantak;
Balantak;query;place|GLOB2_1722|Balantak;
Balante;query;place|GLOB2_1722|Balantak;
Desa Gemulak;query;place|GLOB2_1723|Desa Gemulak;
Goemalak;query;place|GLOB2_1723|Desa Gemulak;
Goemoelak;query;place|GLOB2_1723|Desa Gemulak;
Gumulak;query;place|GLOB2_1723|Desa Gemulak;
Engano;query;place|GLOB2_1724|Pulau Enggano;
Enggano;query;place|GLOB2_1724|Pulau Enggano;
Pulau Enggano;query;place|GLOB2_1724|Pulau Enggano;
Grote Rivier (te Batavia);query;place|GLOB2_1726|Kali Besar;
Kali Besar;query;place|GLOB2_1726|Kali Besar;
Hongarije;query;place|GLOB2_1729|Kingdom of Hungary;
Kingdom of Hungary;query;place|GLOB2_1729|Kingdom of Hungary;
Berampoer;query;place|GLOB2_1730|Burhānpur;
Boerhanpoer;query;place|GLOB2_1730|Burhānpur;
Brampour;query;place|GLOB2_1730|Burhānpur;
Burhanpur;query;place|GLOB2_1730|Burhānpur;
Burhānpur;query;place|GLOB2_1730|Burhānpur;
Tripalewaram;query;place|GLOB2_1731|Tripalewaron;
Tripalewaron;query;place|GLOB2_1731|Tripalewaron;
Tripelewaran;query;place|GLOB2_1731|Tripalewaron;
Trippewaron;query;place|GLOB2_1731|Tripalewaron;
Pruisen;query;place|GLOB2_1734|Prussia;
Prussia;query;place|GLOB2_1734|Prussia;
Henatelloe;query;place|GLOB2_1736|Henatelo;
Henatelo;query;place|GLOB2_1736|Henatelo;
Henatelu;query;place|GLOB2_1736|Henatelo;
Henetello;query;place|GLOB2_1736|Henatelo;
Hennetelle;query;place|GLOB2_1736|Henatelo;
Hennetello;query;place|GLOB2_1736|Henatelo;
Hinetelle;query;place|GLOB2_1736|Henatelo;
Simuay;query;place|GLOB2_1737|Simuay;
Sinway;query;place|GLOB2_1737|Simuay;
Alican;query;place|GLOB2_1739|Bentota Ganga;
Alikan;query;place|GLOB2_1739|Bentota Ganga;
Bentota Ganga;query;place|GLOB2_1739|Bentota Ganga;
Fort Marlborough;query;place|GLOB2_1740|Fort Marlborough;
Marlborough, Kasteel;query;place|GLOB2_1740|Fort Marlborough;
fort Marlbourg;query;place|GLOB2_1740|Fort Marlborough;
Plymouth;query;place|GLOB2_1743|Plymouth;
Socotra;query;place|GLOB2_1744|Socotra;
Sucatora;query;place|GLOB2_1744|Socotra;
Succatora;query;place|GLOB2_1744|Socotra;
Chile;query;place|GLOB2_1745|Chile;
Chili;query;place|GLOB2_1745|Chile;
Friesland;query;place|GLOB2_1748|Friesland;
Vriese;query;place|GLOB2_1748|Friesland;
Bodjong Lopang;query;place|GLOB2_1749|Bodjonglopang;
Bodjonglopang;query;place|GLOB2_1749|Bodjonglopang;
Boedjong Lopan;query;place|GLOB2_1749|Bodjonglopang;
Boedjonglopang;query;place|GLOB2_1749|Bodjonglopang;
Manchuria;query;place|GLOB2_1750|Manchuria;
Mandsjoerije;query;place|GLOB2_1750|Manchuria;
Caspian Sea;query;place|GLOB2_1751|Caspian Sea;
Kaspische Zee;query;place|GLOB2_1751|Caspian Sea;
Bebligamme;query;place|GLOB2_1752|Bibligamme;
Bibilegamme;query;place|GLOB2_1752|Bibligamme;
Bibligamme;query;place|GLOB2_1752|Bibligamme;
Desa Liliboy;query;place|GLOB2_1753|Desa Liliboy;
Liliboi;query;place|GLOB2_1753|Desa Liliboy;
Lilleboy;query;place|GLOB2_1753|Desa Liliboy;
Thiemo;query;place|GLOB2_1755|Timu;
Tima;query;place|GLOB2_1755|Timu;
Timo;query;place|GLOB2_1755|Timu;
Timu;query;place|GLOB2_1755|Timu;
Bonto Panno;query;place|GLOB2_1756|Bontopanno;
Bontopanno;query;place|GLOB2_1756|Bontopanno;
Tepas;query;place|GLOB2_1757|Tepas;
Terong;query;place|GLOB2_1758|Terong;
Trong;query;place|GLOB2_1758|Terong;
Trongh;query;place|GLOB2_1758|Terong;
Tibore;query;place|GLOB2_1759|Tioro;
Tioro;query;place|GLOB2_1759|Tioro;
Tiworo;query;place|GLOB2_1759|Tioro;
Salseet;query;place|GLOB2_1761|Salsette Island;
Salset;query;place|GLOB2_1761|Salsette Island;
Salsette;query;place|GLOB2_1761|Salsette Island;
Salsette Island;query;place|GLOB2_1761|Salsette Island;
Desa Salajo;query;place|GLOB2_1762|Desa Salajo;
Saladjo;query;place|GLOB2_1762|Desa Salajo;
Saladjoe;query;place|GLOB2_1762|Desa Salajo;
Saladjouw;query;place|GLOB2_1762|Desa Salajo;
Saladju;query;place|GLOB2_1762|Desa Salajo;
Chekiang;query;place|GLOB2_1764|Zhejiang;
Chekiangh;query;place|GLOB2_1764|Zhejiang;
Chequian;query;place|GLOB2_1764|Zhejiang;
Zhejiang;query;place|GLOB2_1764|Zhejiang;
Pinnorouan;query;place|GLOB2_1765|Wu-lao-wan;
Pinorowan;query;place|GLOB2_1765|Wu-lao-wan;
Pulauan;query;place|GLOB2_1765|Wu-lao-wan;
Wu-lao-wan;query;place|GLOB2_1765|Wu-lao-wan;
Sidangoli;query;place|GLOB2_1766|Sidangoli;
Sidangolij;query;place|GLOB2_1766|Sidangoli;
Sindagnolij;query;place|GLOB2_1766|Sidangoli;
Chawela Cattu;query;place|GLOB2_1767|Sjawele Cattoe;
Chiauwelecattoe;query;place|GLOB2_1767|Sjawele Cattoe;
Sjallacoedij;query;place|GLOB2_1767|Sjawele Cattoe;
Sjawele Cattoe;query;place|GLOB2_1767|Sjawele Cattoe;
Milanen;query;place|GLOB2_1768|Pulau Molana;
Mulana;query;place|GLOB2_1768|Pulau Molana;
Pulau Molana;query;place|GLOB2_1768|Pulau Molana;
Rotterdam Gate;query;place|GLOB2_1770|Rotterdamse Poort (Batavia);
Rotterdammer poort;query;place|GLOB2_1770|Rotterdamse Poort (Batavia);
