key;context;value;
Guinea Coast;query;place|GLOB2_1047|Guinea Coast;
Guinea, Kust van;query;place|GLOB2_1047|Guinea Coast;
Ragamahol;query;place|GLOB2_1049|Rājmahal;
Ragiamahol;query;place|GLOB2_1049|Rājmahal;
Ragiemahol;query;place|GLOB2_1049|Rājmahal;
Ragimahol;query;place|GLOB2_1049|Rājmahal;
Rajmahal;query;place|GLOB2_1049|Rājmahal;
Rājmahal;query;place|GLOB2_1049|Rājmahal;
Caruan;query;place|GLOB2_1050|Karawang;
Carwangh;query;place|GLOB2_1050|Karawang;
Craoang;query;place|GLOB2_1050|Karawang;
Craoangh;query;place|GLOB2_1050|Karawang;
Crawang;query;place|GLOB2_1050|Karawang;
Croang;query;place|GLOB2_1050|Karawang;
Hoek van Craoangh;query;place|GLOB2_1050|Karawang;
Karawang;query;place|GLOB2_1050|Karawang;
Krawang;query;place|GLOB2_1050|Karawang;
Hoek van Craoangh;query;place|GLOB2_1050_GEO_1|Tanjung Karawang;
Tanjung Karawang;query;place|GLOB2_1050_GEO_1|Tanjung Karawang;
Caruan;query;place|GLOB2_1050_GEO_2|Ci Tarum;
Carwangh;query;place|GLOB2_1050_GEO_2|Ci Tarum;
Ci Tarum;query;place|GLOB2_1050_GEO_2|Ci Tarum;
Craoangse rivier;query;place|GLOB2_1050_GEO_2|Ci Tarum;
Karawang;query;place|GLOB2_1050_GEO_2|Ci Tarum;
Moordenaars R.;query;place|GLOB2_1050_GEO_2|Ci Tarum;
Tjitarum;query;place|GLOB2_1050_GEO_2|Ci Tarum;
Caruan;query;place|GLOB2_1050_HUM_1|Karawang;
Carwangh;query;place|GLOB2_1050_HUM_1|Karawang;
Craoang;query;place|GLOB2_1050_HUM_1|Karawang;
Craoangh;query;place|GLOB2_1050_HUM_1|Karawang;
Crawang;query;place|GLOB2_1050_HUM_1|Karawang;
Croang;query;place|GLOB2_1050_HUM_1|Karawang;
Karawang;query;place|GLOB2_1050_HUM_1|Karawang;
Krawang;query;place|GLOB2_1050_HUM_1|Karawang;
Mosambique;query;place|GLOB2_1051|Mozambique;
Mosambyque;query;place|GLOB2_1051|Mozambique;
Mousanbick;query;place|GLOB2_1051|Mozambique;
Mozambique;query;place|GLOB2_1051|Mozambique;
Mozambique coast;query;place|GLOB2_1051|Mozambique;
Satsuma;query;place|GLOB2_1053|Satsuma;
Zatsuma;query;place|GLOB2_1053|Satsuma;
薩摩;query;place|GLOB2_1053|Satsuma;
Martapoura;query;place|GLOB2_1056|Martapura;
Martapura;query;place|GLOB2_1056|Martapura;
Parigi;query;place|GLOB2_1062|Parigi;
Parigie;query;place|GLOB2_1062|Parigi;
Parigij;query;place|GLOB2_1062|Parigi;
Parygy;query;place|GLOB2_1062|Parigi;
Bajang;query;place|GLOB2_1063|Bayang;
Bayang;query;place|GLOB2_1063|Bayang;
Bayangh;query;place|GLOB2_1063|Bayang;
Londen;query;place|GLOB2_1066|London;
London;query;place|GLOB2_1066|London;
Ende;query;place|GLOB2_1067|Flores;
Endeh;query;place|GLOB2_1067|Flores;
Flores;query;place|GLOB2_1067|Flores;
Pulau Flores;query;place|GLOB2_1067|Flores;
Africa;query;place|GLOB2_1070|Africa;
Afrika;query;place|GLOB2_1070|Africa;
Afrique;query;place|GLOB2_1070|Africa;
Gingee;query;place|GLOB2_1071|Gingee;
Gingi;query;place|GLOB2_1071|Gingee;
Gingie;query;place|GLOB2_1071|Gingee;
Gingier;query;place|GLOB2_1071|Gingee;
Sinsier;query;place|GLOB2_1071|Gingee;
Gingee;query;place|GLOB2_1071_HUM_1|Gingee;
Gingi;query;place|GLOB2_1071_HUM_1|Gingee;
Gingie;query;place|GLOB2_1071_HUM_1|Gingee;
Gingier;query;place|GLOB2_1071_HUM_1|Gingee;
Gingee Fort;query;place|GLOB2_1071_HUM_2|Gingee Fort;
Gingi;query;place|GLOB2_1071_HUM_2|Gingee Fort;
Gingie;query;place|GLOB2_1071_HUM_2|Gingee Fort;
Sinsier;query;place|GLOB2_1071_HUM_2|Gingee Fort;
Lamajuta;query;place|GLOB2_1078|Menjuto;
Lamanjuta;query;place|GLOB2_1078|Menjuto;
Lammajuta;query;place|GLOB2_1078|Menjuto;
Majutte;query;place|GLOB2_1078|Menjuto;
Mandjuta;query;place|GLOB2_1078|Menjuto;
Manjuta;query;place|GLOB2_1078|Menjuto;
Manjutte;query;place|GLOB2_1078|Menjuto;
Menjuto;query;place|GLOB2_1078|Menjuto;
Passarouang;query;place|GLOB2_1080|Pasuruan;
Passoeroeang;query;place|GLOB2_1080|Pasuruan;
Passourawang;query;place|GLOB2_1080|Pasuruan;
Passouroang;query;place|GLOB2_1080|Pasuruan;
Passourouan;query;place|GLOB2_1080|Pasuruan;
Passourouang;query;place|GLOB2_1080|Pasuruan;
Passourouangh;query;place|GLOB2_1080|Pasuruan;
Passourowang;query;place|GLOB2_1080|Pasuruan;
Pasuruan;query;place|GLOB2_1080|Pasuruan;
Pasuruhan;query;place|GLOB2_1080|Pasuruan;
Waaijer;query;place|GLOB2_1081|Wayer;
Waer;query;place|GLOB2_1081|Wayer;
Waijer;query;place|GLOB2_1081|Wayer;
Wajer;query;place|GLOB2_1081|Wayer;
Wayer;query;place|GLOB2_1081|Wayer;
Waaijer;query;place|GLOB2_1081_HUM_1|Wayer (settlement);
Waer;query;place|GLOB2_1081_HUM_1|Wayer (settlement);
Waijer;query;place|GLOB2_1081_HUM_1|Wayer (settlement);
Wajer;query;place|GLOB2_1081_HUM_1|Wayer (settlement);
Wayer (settlement);query;place|GLOB2_1081_HUM_1|Wayer (settlement);
Waaijer;query;place|GLOB2_1081_HUM_2|Wayer (perk);
Waer;query;place|GLOB2_1081_HUM_2|Wayer (perk);
Waijer;query;place|GLOB2_1081_HUM_2|Wayer (perk);
Wajer;query;place|GLOB2_1081_HUM_2|Wayer (perk);
Wayer (perk);query;place|GLOB2_1081_HUM_2|Wayer (perk);
Fort Concordia (Banda Lonthor);query;place|GLOB2_1081_HUM_3|Fort Concordia (Banda Lonthor);
fort Concordia;query;place|GLOB2_1081_HUM_3|Fort Concordia (Banda Lonthor);
fort Oerangie;query;place|GLOB2_1081_HUM_3|Fort Concordia (Banda Lonthor);
fort Orangie;query;place|GLOB2_1081_HUM_3|Fort Concordia (Banda Lonthor);
fort Wajer;query;place|GLOB2_1081_HUM_3|Fort Concordia (Banda Lonthor);
fort Wayer;query;place|GLOB2_1081_HUM_3|Fort Concordia (Banda Lonthor);
Lisboa;query;place|GLOB2_1082|Lisbon;
Lisbon;query;place|GLOB2_1082|Lisbon;
Lissabon;query;place|GLOB2_1082|Lisbon;
Rotterdam;query;place|GLOB2_1085|Rotterdam;
Allamparwa;query;place|GLOB2_1088|Allamparwa;
Allemperwe;query;place|GLOB2_1088|Allamparwa;
Allenberwe;query;place|GLOB2_1088|Allamparwa;
Malaija;query;place|GLOB2_1090|Malayu;
Malayo;query;place|GLOB2_1090|Malayu;
Malayu;query;place|GLOB2_1090|Malayu;
Maleijo;query;place|GLOB2_1090|Malayu;
Maleyo;query;place|GLOB2_1090|Malayu;
Maliaro;query;place|GLOB2_1090|Malayu;
Bangka, Straat;query;place|GLOB2_1098|Selat Bangka;
Selat Bangka;query;place|GLOB2_1098|Selat Bangka;
Straet Banca;query;place|GLOB2_1098|Selat Bangka;
Oostende;query;place|GLOB2_1099|Ostend;
Ostend;query;place|GLOB2_1099|Ostend;
Dieuw;query;place|GLOB2_1105|Diu;
Diu;query;place|GLOB2_1105|Diu;
Delft;query;place|GLOB2_1107|Delft;
Fort Victoria (Ambon);query;place|GLOB2_1110|Fort Victoria (Ambon);
Fort of Our Lady of the Annunciation;query;place|GLOB2_1110|Fort Victoria (Ambon);
Forte de Nossa Senhora da Anunciada;query;place|GLOB2_1110|Fort Victoria (Ambon);
Kota Laha;query;place|GLOB2_1110|Fort Victoria (Ambon);
Victoria, Kasteel;query;place|GLOB2_1110|Fort Victoria (Ambon);
Victoria, fort;query;place|GLOB2_1110|Fort Victoria (Ambon);
fort Nieuw Victoria;query;place|GLOB2_1110|Fort Victoria (Ambon);
fort Victoria;query;place|GLOB2_1110|Fort Victoria (Ambon);
Aleppo;query;place|GLOB2_1112|Aleppo;
Colastrij;query;place|GLOB2_1114|Kolathunadu;
Colatrie;query;place|GLOB2_1114|Kolathunadu;
Kolathunadu;query;place|GLOB2_1114|Kolathunadu;
Kolattiri;query;place|GLOB2_1114|Kolathunadu;
Tampsuy;query;place|GLOB2_1117|Tan-shui;
Tamsuij;query;place|GLOB2_1117|Tan-shui;
Tamsuy;query;place|GLOB2_1117|Tan-shui;
Tan-Sui;query;place|GLOB2_1117|Tan-shui;
Tan-shui;query;place|GLOB2_1117|Tan-shui;
Tangswij;query;place|GLOB2_1117|Tan-shui;
Tanshui;query;place|GLOB2_1117|Tan-shui;
淡水;query;place|GLOB2_1117|Tan-shui;
Dodinga;query;place|GLOB2_1118|Dodinga;
Dodingo;query;place|GLOB2_1118|Dodinga;
Daman;query;place|GLOB2_1119|Daman;
Damaon;query;place|GLOB2_1119|Daman;
Dammang;query;place|GLOB2_1119|Daman;
Dammangh;query;place|GLOB2_1119|Daman;
Deman;query;place|GLOB2_1119|Daman;
Coedoes;query;place|GLOB2_1121|Kudus;
Koedoes;query;place|GLOB2_1121|Kudus;
Kudus;query;place|GLOB2_1121|Kudus;
Soualij Strant;query;place|GLOB2_1122|Suvali;
Soualy;query;place|GLOB2_1122|Suvali;
Sualy;query;place|GLOB2_1122|Suvali;
Suhalij;query;place|GLOB2_1122|Suvali;
Suvali;query;place|GLOB2_1122|Suvali;
Tiga Belas Kota;query;place|GLOB2_1126|Tiga Belas Kota;
Tigaballa Cotta;query;place|GLOB2_1126|Tiga Belas Kota;
Tigabelas Kota;query;place|GLOB2_1126|Tiga Belas Kota;
Tigablas Cottas;query;place|GLOB2_1126|Tiga Belas Kota;
Babar;query;place|GLOB2_1127|Pulau Babar;
Babber;query;place|GLOB2_1127|Pulau Babar;
Pulau Babar;query;place|GLOB2_1127|Pulau Babar;
Sangora;query;place|GLOB2_1128|Songkhla;
Singora;query;place|GLOB2_1128|Songkhla;
Songkhla;query;place|GLOB2_1128|Songkhla;
Bengkalis;query;place|GLOB2_1131|Pulau Bengkalis;
Pulau Bengkalis;query;place|GLOB2_1131|Pulau Bengkalis;
Cambelle;query;place|GLOB2_1132|Serikambela;
Cambello;query;place|GLOB2_1132|Serikambela;
Kambello;query;place|GLOB2_1132|Serikambela;
Serikambela;query;place|GLOB2_1132|Serikambela;
Serikkembelo;query;place|GLOB2_1132|Serikambela;
Makkah;query;place|GLOB2_1134|Makkah;
Mecca;query;place|GLOB2_1134|Makkah;
Mekka;query;place|GLOB2_1134|Makkah;
Covelang;query;place|GLOB2_1135|Covelong;
Covelon;query;place|GLOB2_1135|Covelong;
Covelong;query;place|GLOB2_1135|Covelong;
Limpho;query;place|GLOB2_1137|Ningbo;
Limpo;query;place|GLOB2_1137|Ningbo;
Nimpho;query;place|GLOB2_1137|Ningbo;
Nimpo;query;place|GLOB2_1137|Ningbo;
Ning-po;query;place|GLOB2_1137|Ningbo;
Ningbo;query;place|GLOB2_1137|Ningbo;
Nunbpoe;query;place|GLOB2_1137|Ningbo;
寧波;query;place|GLOB2_1137|Ningbo;
Galesong;query;place|GLOB2_1138|Galesong;
Glisson;query;place|GLOB2_1138|Galesong;
Moa;query;place|GLOB2_1139|Moa Island;
Moa Island;query;place|GLOB2_1139|Moa Island;
Pulau Moa;query;place|GLOB2_1139|Moa Island;
Toradja;query;place|GLOB2_1143|Toraja lands;
Toraja;query;place|GLOB2_1143|Toraja lands;
Toraja lands;query;place|GLOB2_1143|Toraja lands;
Utrecht;query;place|GLOB2_1149|Utrecht;
Sawai;query;place|GLOB2_1150|Sawai;
Sawaij;query;place|GLOB2_1150|Sawai;
Saway;query;place|GLOB2_1150|Sawai;
Zaway;query;place|GLOB2_1150|Sawai;
Brazil;query;place|GLOB2_1154|Brazil;
Brazilië;query;place|GLOB2_1154|Brazil;
Leiden;query;place|GLOB2_1157|Leiden;
Boano;query;place|GLOB2_1159|Pulau Boano;
Bonoa;query;place|GLOB2_1159|Pulau Boano;
Pulau Boano;query;place|GLOB2_1159|Pulau Boano;
Helena, Sint;query;place|GLOB2_1161|Saint Helena Island;
Island of St. Helena;query;place|GLOB2_1161|Saint Helena Island;
Saint Helena Island;query;place|GLOB2_1161|Saint Helena Island;
Sint Helena;query;place|GLOB2_1161|Saint Helena Island;
St. Helena;query;place|GLOB2_1161|Saint Helena Island;
St. Helena eiland;query;place|GLOB2_1161|Saint Helena Island;
Tantoly;query;place|GLOB2_1162|Toli-Toli;
Toli-Toli;query;place|GLOB2_1162|Toli-Toli;
Tolitoli;query;place|GLOB2_1162|Toli-Toli;
Tontoli;query;place|GLOB2_1162|Toli-Toli;
Tontolij;query;place|GLOB2_1162|Toli-Toli;
Totolij;query;place|GLOB2_1162|Toli-Toli;
Loeboe;query;place|GLOB2_1165|Luwu;
Loubou;query;place|GLOB2_1165|Luwu;
Luwu;query;place|GLOB2_1165|Luwu;
Luwuk;query;place|GLOB2_1165|Luwu;
Enkhuizen;query;place|GLOB2_1166|Enkhuizen;
Naning;query;place|GLOB2_1168|Naning;
Naningh;query;place|GLOB2_1168|Naning;
Nanning;query;place|GLOB2_1168|Naning;
Sadayo;query;place|GLOB2_1170|Sidayu;
Sidaju;query;place|GLOB2_1170|Sidayu;
Sidayoe;query;place|GLOB2_1170|Sidayu;
Sidayu;query;place|GLOB2_1170|Sidayu;
Hattuwe;query;place|GLOB2_1173|Hatuwe;
Hatuwe;query;place|GLOB2_1173|Hatuwe;
Venetië;query;place|GLOB2_1174|Venice;
Venice;query;place|GLOB2_1174|Venice;
Conimur;query;place|GLOB2_1182|Koonimedu;
Conjemere;query;place|GLOB2_1182|Koonimedu;
Koonimedu;query;place|GLOB2_1182|Koonimedu;
Kunimedu;query;place|GLOB2_1182|Koonimedu;
Conimur;query;place|GLOB2_1182_HUM_1|Koonimedu;
